Policy Number,Customer ID,Customer Name,Mobile Number,Email Id,Age,Gender,Marital Status,Dependents,Location,Occupation,Claims (3yrs),Claim Type,Online Activity,Service Calls,Current Insurance,Coverage,Premium (3yrs),Fraud
70537,910,Rachel Hill,564-374-7182x9744,bbarr@example.com,27,Female,Married,3,East Steven,Environmental consultant,2,Health,Yes,3,No,Full,2739,0
69137,728,Matthew Norris,+1-652-838-3524,hmarshall@example.com,70,Female,Married,3,Brendachester,"Engineer, maintenance",2,Auto,No,0,No,Partial,1904,1
93509,211,Stephanie Foster,+1-905-552-5421x2860,therring@example.com,34,Female,Married,1,Lake Thomaschester,"Therapist, nutritional",0,Home,Yes,2,No,Full,1094,1
92655,488,Sherri Beck,001-533-756-8199x492,burnschristopher@example.com,39,Female,Married,4,New Maxwellborough,"Engineer, energy",3,Auto,Yes,4,Yes,Full,3815,0
91726,424,Richard Gibson,+1-672-756-4635x448,kevin21@example.org,20,Male,Single,0,East Crystalville,Biomedical scientist,0,Auto,Yes,0,No,Partial,2091,1
65908,875,Laura Leblanc,+1-772-624-4765x725,victor23@example.org,68,Male,Married,4,South Brandon,"Journalist, broadcasting",2,Home,Yes,0,Yes,Full,2552,0
49913,834,Dana Rodriguez,873-722-6786x7534,molson@example.net,58,Male,Single,3,Websterside,Advice worker,3,Auto,No,2,Yes,Partial,3111,0
33481,362,Sarah Morris,205.732.2736x23301,bowens@example.org,41,Female,Single,3,Jessicaborough,Museum/gallery conservator,5,Health,No,2,No,Partial,2608,0
29356,472,John Mitchell,7716150626,kevin39@example.com,21,Male,Married,3,Blackburgh,Politician's assistant,2,Auto,Yes,1,Yes,Partial,2027,1
90280,860,Amy Mckenzie,(708)404-8031x381,jamesramirez@example.com,45,Female,Married,4,Garciaberg,Heritage manager,2,Health,Yes,5,No,Partial,4033,1
51944,871,Brandi Oneill,905-498-7582,avilamark@example.com,40,Male,Single,4,Cookside,Garment/textile technologist,1,Home,Yes,2,Yes,Partial,1484,0
71407,342,James White,001-538-609-0433x63451,maureen26@example.net,64,Male,Married,2,West Susan,Land,1,Auto,No,2,No,Partial,2308,0
24679,547,Douglas Kemp,+1-565-371-4261x35844,smithrobert@example.net,22,Male,Single,5,East Michelle,Field trials officer,4,Home,Yes,4,No,Partial,1792,1
73215,158,Jennifer Robinson,+1-607-488-0082x4844,kreese@example.org,70,Female,Single,1,West Kevinland,Translator,1,Auto,No,4,Yes,Full,4105,1
34466,664,Nancy Poole,(941)679-0525x377,kmorris@example.org,34,Female,Married,2,Johnstonville,Clinical molecular geneticist,3,Auto,Yes,2,No,Full,3089,1
23094,503,Rachel Burns,(343)538-5795,mcross@example.net,46,Male,Married,1,South Aaronfurt,Glass blower/designer,0,Auto,No,0,No,Full,4489,1
75420,930,Chad Simpson,(432)315-0261x58390,fgarcia@example.com,34,Female,Married,1,Stevenfurt,Tour manager,1,Health,No,3,No,Partial,4794,0
45747,405,Carl Ware,4104098908,ruiztonya@example.net,41,Male,Single,5,Sarastad,Radio producer,3,Auto,Yes,4,Yes,Partial,3659,0
29704,887,Andrew Rodriguez,(397)772-3756,reyesjoshua@example.com,49,Female,Married,3,Kendrahaven,English as a foreign language teacher,2,Home,No,2,Yes,Full,2173,0
76951,401,Jeffery Jenkins,+1-880-334-5401x895,graydominique@example.org,56,Male,Married,2,Williamview,Paediatric nurse,1,Health,Yes,3,Yes,Partial,4880,0
76527,974,Karen Harris,001-908-460-2280x173,villarrealmelissa@example.com,54,Female,Single,5,North Haileyberg,Fish farm manager,2,Auto,Yes,3,No,Partial,3747,0
85047,941,Virginia Jacobson,363.230.5255,lewispamela@example.org,59,Male,Single,5,Richchester,Surgeon,3,Health,Yes,2,No,Full,2540,0
79008,114,Andrew Duncan,390.453.5891x445,matthew97@example.org,46,Male,Single,0,Loriside,Fine artist,0,Home,No,1,Yes,Full,1041,0
38963,851,Daniel Jones,(897)988-8714,wpreston@example.net,28,Male,Married,4,South Sandra,"Administrator, charities/voluntary organisations",3,Auto,No,3,No,Partial,3677,0
68962,448,Alex Smith,(843)333-9328,holtlogan@example.com,68,Female,Single,4,East Sandrastad,Applications developer,4,Home,Yes,5,No,Partial,4724,1
76637,149,Carl Ortiz,(441)915-7783,brian73@example.com,32,Male,Married,4,South Austinmouth,Merchant navy officer,5,Auto,No,5,No,Partial,3191,0
53715,219,Wendy Weber,204.461.4478x8262,eanderson@example.com,69,Male,Married,3,Smithport,Clothing/textile technologist,3,Home,No,1,No,Full,1546,1
23554,621,Daniel Ford,001-597-700-7753x690,jacob69@example.com,57,Male,Married,2,Christopherburgh,Barista,0,Health,No,0,No,Partial,3298,0
55625,645,Sharon Smith,001-694-677-6644x1521,michael51@example.org,64,Female,Married,4,Richardmouth,Special educational needs teacher,3,Health,Yes,3,No,Partial,4790,1
19266,695,Heather Blair,+1-317-645-8575,dorothyrobinson@example.org,26,Male,Single,1,New David,Chartered accountant,4,Health,No,2,No,Partial,2791,0
61099,130,Erik Larsen,2459598754,johnyoung@example.com,23,Female,Single,1,North Ryanland,Psychiatric nurse,2,Health,Yes,1,No,Full,4287,1
17867,929,John Allen,547.783.5961,alvarezpaul@example.com,66,Female,Married,0,Brownport,English as a foreign language teacher,4,Auto,Yes,4,Yes,Partial,3616,0
36150,847,Jennifer Garcia,(713)483-8972,astrickland@example.com,58,Male,Married,2,Reillyborough,"Engineer, maintenance (IT)",4,Auto,Yes,3,No,Partial,4399,1
45728,220,David George,+1-273-693-0533x51862,vrobinson@example.org,64,Male,Single,2,Mitchellborough,Aeronautical engineer,2,Health,Yes,1,Yes,Partial,3135,0
43351,658,Nicholas Knox,001-679-463-2714x822,ralph32@example.net,36,Female,Single,1,Lake Lindseyfurt,Product/process development scientist,3,Auto,No,0,Yes,Full,2889,1
25308,868,Kenneth Joseph,(278)955-9252x863,ortizteresa@example.org,25,Female,Married,4,Wileyland,Nutritional therapist,2,Home,Yes,1,No,Full,2244,1
12137,275,Kelly Proctor,716.436.3376,montgomerypaul@example.net,68,Male,Married,5,Ryanview,Site engineer,0,Home,Yes,3,Yes,Full,1989,1
71842,367,Carrie King,535-583-3892x773,hendersongeorge@example.org,60,Male,Single,0,West Jamesberg,Speech and language therapist,0,Health,Yes,0,No,Full,1106,1
26133,631,Ashley Moore,(998)622-4754x590,margaretrichardson@example.com,49,Female,Married,2,Meyerland,Systems developer,0,Health,No,4,Yes,Partial,2999,0
49303,448,Regina Rodgers,+1-783-686-4449x3988,singletonkathy@example.com,33,Male,Single,5,Port Betty,Art therapist,4,Auto,Yes,3,No,Partial,1705,0
66282,119,Christopher Odonnell,+1-215-515-4691,hwright@example.org,40,Male,Married,5,Smithhaven,"Engineer, chemical",4,Health,No,0,No,Full,2855,1
40056,429,Heather Wilson,(503)536-6786,grush@example.org,22,Male,Married,2,Courtneybury,Archivist,5,Health,No,2,No,Partial,1427,1
16723,157,Henry Simmons,692-679-3844,zachary86@example.org,48,Female,Married,0,West Maria,Amenity horticulturist,1,Home,No,3,No,Full,2015,0
91661,730,Catherine Schneider,251-699-1776x10091,joyrollins@example.org,64,Male,Married,1,Owenschester,"Investment banker, corporate",0,Health,No,5,No,Partial,3735,1
29080,879,Angelica Wilson,001-634-677-4092x362,john76@example.net,69,Male,Married,0,Danielmouth,"Therapist, music",1,Auto,No,5,No,Full,3763,1
64831,596,Carlos Snyder,(465)245-9363x66996,judithflynn@example.net,22,Male,Married,4,Timothychester,"Geologist, wellsite",5,Health,No,0,Yes,Full,2488,0
98089,136,Cassandra Collier,639-862-0815,williamjohnson@example.net,37,Female,Married,0,New Jonathanfurt,Astronomer,3,Auto,Yes,2,No,Partial,1883,1
21656,693,Joshua Mercado,772.353.1450,stephanievasquez@example.net,24,Female,Married,0,Baileyfurt,Armed forces logistics/support/administrative officer,3,Health,Yes,3,No,Partial,3732,0
56200,705,Jacob Nichols,5914607068,qrichardson@example.org,18,Male,Single,3,Johnsonchester,Museum/gallery curator,4,Health,No,3,No,Full,4537,1
26335,347,John Manning,597.735.1767,kevinreyes@example.net,63,Female,Single,4,New Jenniferville,Tourism officer,2,Auto,Yes,5,Yes,Partial,1338,1
46685,179,Erin Wolfe,(890)732-6629,geraldcastillo@example.org,64,Male,Married,1,Lake Lauraland,Landscape architect,2,Health,No,5,Yes,Partial,4505,1
94201,112,Nathan Harris,001-886-752-5919x90815,castrojohn@example.com,68,Female,Single,3,South Kevin,"Designer, furniture",4,Home,No,3,Yes,Partial,2765,0
63032,207,Richard Knight,(319)419-7015,victorlewis@example.org,32,Female,Married,1,South Vanessa,Estate agent,4,Home,Yes,0,No,Partial,2787,1
35613,938,Dylan Harding,998.441.5798x440,roberto93@example.net,58,Male,Single,2,Melissaside,Astronomer,2,Health,No,0,Yes,Full,3713,0
74532,496,Paul Owens,918.777.2582x0042,rjackson@example.org,44,Female,Married,4,Jacquelineborough,Lexicographer,3,Home,Yes,0,Yes,Full,1209,1
27847,458,Ronald Henderson,(466)955-6382x7509,wmiller@example.org,26,Male,Single,1,West Jennifer,Broadcast engineer,0,Auto,Yes,4,Yes,Full,4315,1
68641,598,Rickey Brown,663-452-6360x340,racevedo@example.com,59,Male,Married,5,Kristinhaven,Fitness centre manager,2,Auto,Yes,1,Yes,Full,1598,1
53452,853,Valerie Tran,+1-289-435-9913x76786,andrea12@example.net,36,Female,Married,0,New Jennifermouth,"Designer, ceramics/pottery",0,Health,Yes,3,Yes,Partial,1799,0
60997,585,Chris Cantu,634-677-9665x7570,carrie61@example.net,70,Female,Single,1,East Billport,"Therapist, art",4,Health,Yes,0,No,Full,4053,1
51535,228,Tyler Hall,4414855825,brownrachel@example.org,66,Male,Single,5,Parkerburgh,Environmental health practitioner,3,Health,No,3,Yes,Partial,3738,1
10938,545,Spencer Sandoval,(482)490-6521x148,brandy86@example.com,44,Male,Single,4,South Laura,"Designer, ceramics/pottery",2,Auto,Yes,0,No,Partial,4662,0
57136,783,Andrea Reed,776.549.3668x882,xpoole@example.net,57,Male,Single,1,South Jamesfurt,Speech and language therapist,4,Auto,No,1,Yes,Full,1087,1
35146,726,Crystal Hughes,+1-340-947-9631,hcooper@example.com,39,Female,Single,5,Port Jessica,"Scientist, research (physical sciences)",5,Home,Yes,3,No,Full,2543,0
66630,368,Eric Cooper,209-390-9086x888,coletammy@example.org,39,Male,Single,0,Ashleyberg,"Designer, textile",3,Health,Yes,2,Yes,Full,1381,0
18229,141,Emily Bishop,401-813-2261,rtaylor@example.com,58,Female,Married,5,Tanyamouth,Fitness centre manager,3,Home,No,1,No,Partial,3715,0
95320,103,Pedro Soto,993-695-0206x366,xdonaldson@example.org,22,Male,Married,1,Moranland,Games developer,1,Auto,No,5,No,Partial,1453,0
77900,158,Daniel Huerta,(646)873-2864x2201,richard25@example.com,41,Female,Married,3,Lake John,"Buyer, industrial",3,Home,Yes,1,No,Full,2642,0
13067,947,Michelle Harper,551-492-0399x135,hillmichael@example.net,57,Male,Single,3,Michaelbury,Waste management officer,5,Health,No,5,No,Partial,2551,0
51750,511,Lisa Smith,428-995-2848x37563,ogill@example.net,23,Female,Single,3,Caitlynburgh,Public relations officer,3,Auto,Yes,4,No,Full,3045,0
36611,233,Christina Dunlap,(970)229-6265,brian43@example.org,30,Female,Single,2,Hernandeztown,"Engineer, civil (consulting)",1,Home,Yes,3,No,Full,3664,0
49113,825,James Ochoa,750-902-0032x53114,lewisthomas@example.net,43,Male,Married,4,Clarktown,Pensions consultant,0,Health,No,2,Yes,Partial,2146,0
10163,991,Sue Savage,615.688.1300,jeffgonzalez@example.com,24,Female,Single,0,West Patriciaside,"Editor, magazine features",4,Auto,No,0,No,Full,1281,0
72004,561,Amy Gamble,932-622-2464x002,jamesbryant@example.com,41,Male,Single,5,Zacharyshire,Sports administrator,0,Health,Yes,0,No,Full,3050,1
95248,814,Jason Price,001-854-416-3609x3598,debracox@example.org,22,Male,Married,0,Emilyberg,Diplomatic Services operational officer,0,Auto,No,1,Yes,Full,3455,1
36129,471,Heather Scott,657.335.3842x787,qmorales@example.com,68,Female,Single,1,South Alexberg,Theatre stage manager,5,Home,No,2,Yes,Full,4872,0
43634,248,William Murillo,+1-237-800-7064,melissamorales@example.com,54,Male,Married,2,South Patrickmouth,Radiation protection practitioner,0,Auto,No,2,Yes,Full,2630,0
27543,484,Patricia Jones,(291)245-7316,scottrandall@example.com,46,Female,Married,2,Port Mark,Water quality scientist,4,Home,Yes,5,Yes,Partial,3396,1
94356,358,Joseph Bolton,001-440-606-3750x778,jenniferharris@example.net,67,Male,Single,0,South Heather,English as a second language teacher,2,Auto,No,2,No,Full,3533,1
97585,929,Stephanie Obrien,001-202-422-3464x91542,cisneroskevin@example.net,42,Male,Single,2,Port Michael,"Engineer, materials",1,Health,Yes,4,Yes,Full,3206,1
49069,843,Peter Johnston,001-805-201-9172,bbrown@example.org,53,Male,Single,0,Hoffmantown,"Engineer, agricultural",4,Health,No,2,Yes,Partial,1236,0
44529,461,Lisa Lynn,(307)399-4175x641,campbellpeter@example.org,23,Female,Single,5,Smithton,Mechanical engineer,0,Home,No,1,No,Partial,1188,0
24991,971,Whitney Norris,(397)729-7225x977,cgutierrez@example.net,63,Male,Married,3,Gomezbury,"Therapist, sports",2,Home,No,0,Yes,Partial,1086,0
26318,717,Karla Zimmerman,001-983-760-2278x944,tcruz@example.com,70,Female,Single,5,Williamsburgh,Fitness centre manager,5,Health,Yes,2,Yes,Full,3512,1
62159,373,Emma Lewis,(880)871-7094,victorjones@example.org,35,Female,Single,1,Lake Paula,"Psychotherapist, child",4,Home,No,3,Yes,Partial,3858,0
58466,954,David Foster,700.309.0267,charles34@example.net,63,Male,Single,3,East Rachelborough,Agricultural consultant,0,Home,No,2,No,Partial,3426,1
59049,654,Catherine Rodriguez,885.283.2804x5237,millerdonna@example.org,33,Female,Married,4,Toddchester,Research scientist (medical),0,Auto,Yes,0,No,Partial,3081,0
30357,221,Matthew Evans,622.649.6784,dstewart@example.net,25,Female,Married,5,South Briannachester,"Engineer, agricultural",5,Auto,Yes,5,Yes,Full,1077,1
87581,263,John Martin,249.874.6003,aschaefer@example.net,55,Male,Married,5,Ryanstad,"Optician, dispensing",0,Home,Yes,3,No,Full,2429,1
15345,371,Lisa Warren,5974743843,lewistammy@example.net,42,Male,Single,4,West Jessicaview,Interior and spatial designer,3,Home,Yes,4,No,Partial,1765,0
61573,432,Madison Davis,+1-483-660-4589,dianelynn@example.net,22,Female,Single,5,Johnsontown,Warden/ranger,2,Home,No,0,Yes,Full,3549,1
59889,399,Jacob Foster,4178997995,aaronedwards@example.com,19,Female,Single,1,Collinsbury,"Runner, broadcasting/film/video",0,Home,No,2,Yes,Partial,3615,1
57025,670,Peter Robles,(546)266-2613x7634,mgillespie@example.net,68,Male,Married,4,Lake Ryanton,Make,1,Health,No,5,No,Full,1966,0
69371,327,Dominique Floyd,+1-559-960-5084x54739,bradleysheena@example.net,52,Female,Single,4,Smithfurt,Homeopath,1,Auto,Yes,4,Yes,Partial,1329,1
88807,480,Michele Morales,205-821-6073x8054,sheila15@example.org,33,Female,Married,5,East Michaelstad,Retail merchandiser,1,Home,No,5,No,Full,1442,1
11105,350,Shawn Garcia,380.710.0654x807,jonesshannon@example.net,26,Female,Single,4,Port Anna,Associate Professor,4,Auto,No,5,No,Full,2015,1
29251,706,Jeffrey Williams,001-295-951-0263x4740,gonzalezchelsey@example.com,68,Male,Married,1,North Staceyfort,Waste management officer,3,Home,Yes,1,No,Partial,1851,0
32441,801,Susan Thomas,(349)722-6996x71177,amyjennings@example.net,70,Male,Married,3,Marychester,"Therapist, sports",5,Health,No,4,Yes,Partial,3884,1
53354,434,Raymond Hahn,(579)997-7833x75137,andradepatrick@example.com,25,Female,Single,0,East Rogerbury,"Horticulturist, commercial",0,Auto,Yes,1,Yes,Full,3532,0
43714,746,Mary Henderson,766.224.4987,danielbush@example.net,52,Male,Married,2,West Dennisland,Product/process development scientist,0,Auto,Yes,0,No,Full,2842,1
93605,454,Kristy Harvey,868-279-6738x659,smithalan@example.com,49,Male,Single,4,West Rebeccabury,Charity officer,5,Auto,No,5,No,Full,1429,1
48053,543,Jessica Craig,837-287-0065x47652,georgeflores@example.org,33,Female,Single,4,Wilsonburgh,Telecommunications researcher,1,Home,No,2,No,Full,2549,1
94022,105,Patrick Parker,(646)555-5592,megan19@example.org,35,Female,Single,2,Millerland,Electrical engineer,5,Home,Yes,4,No,Full,1495,0
32791,208,Edward Webb,224.970.8046,rsimpson@example.com,65,Male,Single,1,Amandamouth,Artist,3,Auto,No,4,Yes,Full,4418,1
86697,261,Lawrence Norris,001-376-205-1905x87858,lirichard@example.org,60,Female,Married,4,West Patricia,Exhibition designer,3,Health,No,4,Yes,Partial,3791,0
96819,325,Mark Mcconnell,7145803628,josephfoster@example.com,22,Female,Married,1,Steventown,Research scientist (maths),2,Health,Yes,3,Yes,Full,3117,0
16481,648,James Rogers,807-926-4137,wilsonsherry@example.org,41,Female,Single,0,Brewerport,Historic buildings inspector/conservation officer,0,Home,Yes,0,No,Full,4997,0
67372,965,Erica Hunt,(271)770-3562x6812,madisoncox@example.com,59,Female,Married,3,Williamsburgh,TEFL teacher,4,Home,No,3,Yes,Full,2554,1
80316,235,Ricky Woods,(435)538-0810x6358,nmoyer@example.org,29,Female,Married,5,West Maryborough,Psychiatrist,0,Health,Yes,5,No,Full,4491,1
64233,350,Kristin Haynes,3925444469,timothy46@example.com,36,Male,Married,1,New Justin,Proofreader,2,Health,No,4,Yes,Full,3253,0
28877,506,Larry Lewis,001-338-620-3001,gmorris@example.org,69,Female,Married,3,West Gary,"Engineer, biomedical",2,Home,No,3,No,Full,2353,0
70513,368,Rachel Carter,5377103213,wanda44@example.org,52,Male,Married,0,North Nicholemouth,"Production designer, theatre/television/film",5,Auto,Yes,3,Yes,Partial,1611,0
64348,692,Stephen Adams,+1-409-329-6072x730,davenportstephen@example.com,37,Female,Single,1,East Marieton,Health and safety inspector,4,Home,No,5,Yes,Partial,3587,1
36094,287,James Conner,268-544-4305,meganfisher@example.net,52,Male,Single,0,Zacharyton,Arboriculturist,5,Home,No,0,Yes,Partial,3134,0
85658,902,Ellen Morris,+1-463-462-2211x6056,larseneugene@example.net,35,Female,Married,4,Lake Johnathan,Warden/ranger,1,Auto,Yes,5,Yes,Partial,4047,0
14259,994,Amy Fowler,001-434-318-6289x508,campbelljulia@example.com,60,Male,Married,1,East Kelly,General practice doctor,5,Home,No,5,No,Partial,1168,0
57043,873,Monique Drake,854-574-7855,roger83@example.org,45,Male,Married,0,Conleyshire,"Teacher, early years/pre",5,Auto,No,0,Yes,Full,2709,1
60337,557,Rose Mcdonald,(232)576-0096x629,hartmandebbie@example.com,26,Female,Married,2,South Paula,Environmental manager,1,Health,No,0,Yes,Partial,4106,0
55764,210,David Oneill,(755)608-4407,xavierrich@example.com,24,Female,Single,5,East Tanya,"Engineer, manufacturing",5,Health,No,1,No,Partial,1032,0
97562,573,Mary Gillespie,5304010869,crawfordkelly@example.org,68,Female,Married,0,Johntown,Insurance underwriter,2,Home,No,5,No,Partial,3924,1
52440,535,Allison Smith,337.549.0527,thomasramirez@example.net,23,Female,Married,5,Amandastad,Analytical chemist,0,Home,Yes,0,Yes,Full,4687,0
73214,164,Hunter Bowen,390.302.8339x2051,margaretrichards@example.org,54,Female,Married,5,Lake Nathaniel,"Restaurant manager, fast food",1,Health,Yes,1,Yes,Full,3207,1
63336,595,Francis Ward,(305)731-1043x9783,mason18@example.net,59,Male,Married,3,Alexanderburgh,Veterinary surgeon,2,Health,Yes,5,No,Partial,4706,0
40838,690,Matthew Rasmussen,+1-842-327-0199x6335,michael12@example.com,52,Female,Single,3,South Donna,Systems analyst,4,Health,Yes,0,No,Partial,3577,1
44074,176,Jennifer Stanley,756-205-7508x2759,mario18@example.org,45,Male,Single,3,North Michelleburgh,Neurosurgeon,0,Auto,No,0,Yes,Partial,2394,0
12101,883,Monica Phillips,2715788722,doconnor@example.org,46,Male,Married,5,New Nathanborough,"Teacher, adult education",0,Health,Yes,0,Yes,Partial,1235,1
75036,809,Brian Le,+1-648-989-1081x2793,swoods@example.net,59,Male,Single,4,West Yvetteberg,Retail buyer,5,Auto,No,5,Yes,Partial,1797,1
23884,519,Laura Johnson,6797844693,ejames@example.net,24,Female,Single,4,North Michael,"Teacher, primary school",2,Home,Yes,1,Yes,Partial,2574,0
96067,804,Olivia Malone,001-509-844-8265x5740,frankmichael@example.net,58,Female,Single,5,North Dustin,Chiropodist,2,Health,No,1,No,Partial,3284,0
37111,149,Nicholas Le,863.678.5968,derek41@example.net,55,Male,Married,4,Smithborough,Health and safety adviser,5,Auto,No,4,Yes,Full,3429,0
34524,558,Crystal Guerra,+1-209-433-4486x975,wattskathryn@example.com,20,Male,Married,5,Port Jessicaburgh,"Engineer, manufacturing",5,Auto,Yes,5,Yes,Partial,3530,1
78028,282,Carolyn Ortega,444-927-8997x9609,cgriffith@example.org,18,Female,Single,1,Darrylberg,Chartered management accountant,1,Health,No,3,Yes,Full,2688,1
86042,442,Virginia Meza,528-536-7232x527,lynn48@example.net,69,Male,Single,0,Lake Thomasfurt,Private music teacher,2,Health,No,5,Yes,Partial,2672,0
85642,347,Jacqueline Thompson,560-435-7609x2889,xevans@example.org,67,Female,Single,0,West Kristi,Publishing copy,4,Auto,No,3,No,Full,4656,0
29103,635,Martin Taylor,001-442-886-4546x9112,manuel39@example.net,30,Male,Single,0,Sanderschester,Biomedical engineer,4,Auto,Yes,0,No,Full,4774,0
10599,312,Jerry Randall,290-814-2426x03539,amy77@example.com,22,Male,Single,5,New Lawrencechester,Academic librarian,4,Health,No,5,Yes,Full,4707,1
85156,917,Tracy Lowe,+1-731-350-2590x813,ofernandez@example.net,31,Female,Single,0,Port Cassidyland,Acupuncturist,2,Home,Yes,0,Yes,Partial,3026,1
21307,285,Jeffrey Reyes,(236)657-2009,smithjordan@example.com,24,Female,Single,3,Tarashire,"Teacher, English as a foreign language",3,Health,Yes,2,Yes,Partial,2700,0
18451,650,Brooke Wise,(987)515-5479x20431,philipstephens@example.net,63,Male,Single,2,West Mitchell,Web designer,0,Health,No,4,No,Partial,1520,0
85960,439,Antonio Martinez,001-209-659-4038x7092,vholmes@example.com,53,Male,Married,0,North Lisamouth,"Teacher, English as a foreign language",5,Auto,No,4,Yes,Full,3020,1
15923,928,Morgan Fletcher,449.640.2403,angela16@example.net,55,Male,Married,1,Garciashire,Education administrator,3,Auto,No,2,Yes,Partial,4193,1
44218,629,Carl Cook,820-595-7039,whitesarah@example.org,21,Female,Single,4,Garyview,"Solicitor, Scotland",5,Health,Yes,1,Yes,Partial,4873,0
83680,226,Amanda Barnett,898-509-6747x6270,herringbrad@example.net,26,Male,Married,0,Port Annamouth,Retail buyer,5,Home,Yes,3,Yes,Full,2009,1
58925,927,Tara Whitehead,001-512-660-2499x0617,heathermcbride@example.com,38,Male,Single,2,North Nicoleland,"Psychologist, prison and probation services",3,Auto,Yes,5,Yes,Full,1720,0
71145,731,Rodney Ellis,001-533-970-8837,wthompson@example.com,50,Female,Single,1,Edwardchester,Fish farm manager,3,Home,Yes,1,Yes,Partial,3820,1
17788,994,James Stafford,5452321740,benjaminburns@example.com,54,Male,Married,0,Mariahaven,Museum education officer,0,Health,Yes,3,No,Full,3612,1
14808,111,Robert Sanchez,4903229014,michaelmorris@example.com,37,Female,Married,0,North Amberfort,Sports coach,1,Home,Yes,4,No,Full,3050,0
87867,500,Ashley Greene,5883043774,bgarcia@example.net,39,Female,Single,1,Johnshire,Animator,4,Health,Yes,1,No,Partial,2773,0
94762,209,Kyle Poole,+1-850-758-9531,hrodriguez@example.com,46,Male,Single,3,Alexanderhaven,Technical brewer,5,Health,Yes,4,No,Full,2465,0
37837,421,John Mendoza,(691)580-7439,vstewart@example.com,35,Female,Married,3,West Brittany,"Therapist, art",5,Health,No,4,Yes,Partial,2135,0
27144,488,Angela Haas DDS,541.945.4102x353,hwilliamson@example.org,32,Female,Single,3,New Ashley,Radio producer,0,Home,Yes,3,Yes,Partial,1530,0
26708,682,Kevin Walker,001-422-316-4586x06893,nancy95@example.org,51,Male,Married,3,Lake Robertmouth,Garment/textile technologist,4,Health,No,3,Yes,Full,2014,1
49492,389,Michael Johnson,671-620-7399,carol09@example.org,61,Female,Single,0,New Maryside,Soil scientist,1,Health,Yes,1,Yes,Partial,1429,1
79092,925,Tracy Brennan,+1-742-473-8160x724,jaystone@example.com,56,Male,Married,0,Timothyberg,"Scientist, research (life sciences)",1,Home,Yes,4,No,Partial,4708,0
25987,847,Justin Harrington,5327294889,oward@example.org,18,Male,Married,2,Lake Jeffrey,"Geologist, engineering",1,Home,No,2,No,Partial,1233,1
27992,812,George Rivera,+1-735-613-5760x746,ericallen@example.net,31,Male,Single,0,New Sarah,Retail banker,2,Health,No,1,Yes,Full,3539,0
16269,603,Dominique Barajas,+1-536-826-0035,jamesmartin@example.com,25,Female,Married,1,Lake Karen,Academic librarian,3,Health,No,2,Yes,Partial,1582,0
33455,244,Charles Cook,+1-939-691-3598,lisa30@example.org,62,Male,Single,2,Port Adrienneshire,Geochemist,0,Auto,Yes,5,Yes,Partial,3737,0
65701,243,Carly Miller,755-242-0242,antoniosullivan@example.com,55,Male,Single,0,North Marcusburgh,Sub,0,Health,Yes,5,No,Partial,3964,1
70914,875,Edward Black,218-514-6217,chavezcynthia@example.org,43,Male,Married,3,Michaelland,Forensic scientist,2,Home,No,0,No,Partial,4848,1
58989,394,Katherine Jackson,+1-910-468-7588,mitchell96@example.net,59,Female,Married,2,Tylermouth,"Therapist, art",4,Health,No,5,Yes,Full,1891,0
10081,903,Joshua Cannon,001-806-979-4897x50164,martinezdonald@example.net,52,Female,Single,2,West Tiffanymouth,"Designer, textile",1,Auto,No,4,No,Full,3463,0
45870,210,Randy Fletcher,001-488-511-1108x4751,upayne@example.org,24,Male,Married,2,Brownside,Recycling officer,1,Home,No,3,Yes,Partial,3642,1
47834,568,Joseph Cunningham,+1-423-716-9202,angela24@example.com,31,Male,Single,5,East Roger,"Production designer, theatre/television/film",5,Home,No,5,Yes,Full,4266,1
16359,791,Melissa Waters,+1-681-282-8387x901,stephenpittman@example.org,55,Male,Single,5,Robinsonmouth,"Scientist, research (medical)",3,Auto,No,1,No,Full,3135,1
28880,990,James Gillespie,702-471-3065x6700,bradley58@example.com,68,Female,Single,0,Avilaside,Hydrogeologist,2,Home,No,4,Yes,Partial,4743,0
55735,532,Matthew Wright,(801)916-1740,joannageorge@example.com,48,Female,Single,0,Fisherville,Further education lecturer,4,Health,Yes,2,Yes,Partial,3203,1
17903,896,Bryan Lozano,+1-788-495-5271x20130,emilypowell@example.net,48,Male,Single,3,South Carlshire,Dramatherapist,0,Health,Yes,2,No,Partial,1038,1
63162,239,Julie Becker,(586)741-4352,melissa09@example.com,22,Female,Married,1,East Zachary,"Designer, multimedia",1,Health,Yes,3,Yes,Partial,3059,0
23169,658,Vanessa Vasquez,+1-223-390-5761,barkerpaul@example.com,60,Female,Married,2,Jessechester,Energy manager,0,Home,No,3,Yes,Full,4287,0
20369,935,Alexander Horn,(536)704-4690x947,smyers@example.com,25,Male,Single,2,Morganfurt,Community pharmacist,1,Health,No,4,Yes,Partial,3822,0
29346,667,Matthew Thompson,+1-679-883-3505x51167,wwells@example.net,34,Male,Married,0,Mariofurt,Academic librarian,2,Health,No,0,No,Full,3138,1
42738,738,Kristina Rosales,642.995.1447x470,tanya66@example.com,24,Male,Single,4,Andrewville,Insurance risk surveyor,0,Health,No,1,Yes,Partial,4516,1
83066,974,Holly Stephens,001-574-752-2773x89734,marcvaughn@example.net,55,Male,Married,5,Catherinechester,Government social research officer,3,Health,Yes,3,Yes,Partial,4462,0
